Date of fail,Product description,Country of origin,Producer name,Reason for fail,Results,Units,Reference,Category,Test applied,Holding order number
2022-05-02,Infant formula,Germany,Milupa Gmbh,Cronobacter,DetectedÂ /100g,,FSC 1.6.1,Surveillance,detected,- HO number 17797
2022-05-02,Maldive fish chips,Sri Lanka,Lakrasa Food (Pvt) Ltd.,Histamine,"230,",240Â mg/kg,HIS 12/2016,Risk,detected in excess of level permitted,
2022-05-05,Roasted peanut,India,Psk Exports,Aflatoxin,0.023Â mg/kg,,NUT 11/2018,Risk,detected in excess of level permitted,
2022-05-05,Maldive fish chips,Sri Lanka,Enrich Tea and Food Exports (Pvt) Ltd,Histamine,310Â mg/kg,,HIS 12/2016,Risk,detected in excess of level permitted,
2022-05-09,Frozen mackerel in konbu dashi,Japan,Yoshukogyo Co. Ltd.,Listeria,DetectedÂ /125g,,FSH 07/2018,Risk,monocytogenes detected,
2022-05-09,Fish pickle,India,Anchuthara Food Products (Alappuzha India),Histamine,345Â mg/kg,,HIS 12/2016,Risk,detected in excess of level permitted,
2022-05-09,Spinach chopped,China,Yantai Aofeng Foodstuff Co. Ltd. ,Fruit,0.14Â mg/kg,,FSC 1.4.2,Surveillance,& vegetable residue screen - Cyhalothrin not permitted in this food,- HO number 17817
2022-05-11,Cooked vannamei prawns,Vietnam,Ming Phu - Hau Giang Seafood,Fluoroquinolones,0.003Â mg/kg,,FSC 1.4.2 ,Risk,- Enrofloxacin not permitted in this food,
2022-05-19,Frozen okra,India,Aerath Business Corporation,Fruit,0.09Â mg/kg,,FSC 1.4.2,Surveillance,& vegetable residue screen - Acephate not permitted in this food, - HO match 14568
2022-05-20,Boldo tea,Brazil,Prompt Comercio De Alimentos Ltda,Composition,,,FSC 1.4.4,Risk,- Prohibited plant - Peumus boldus (Boldo leaves),
2022-05-20,Candy,India,Arhaan International,Composition,,,FSC 1.3.1,Surveillance,- Additive 'Colour 50 D' not permitted in this food,- HO Number 17851
2022-05-20,Dried perilla leaves with plum,Japan,Mishima Shokuhin Co. Ltd.,Composition,,,FSC 1.3.1,Surveillance,- Additive; â€˜Monascus colourâ€™ not permitted in this food,- HO Number 17850
2022-05-23,Chilled Spanish mackerel,Indonesia,Pt Iambeu Mina Utama,Histamine,523Â mg/kg,,HIS 12/2016,Risk,detected in excess of level permitted,
2022-05-24,Giant taro -Ta'amu,Samoa,Samoa Agro Marketing,Composition,,,FSC 1.4.4,Risk,-Prohibited plant -Alocasia macrorrhiza,
2022-05-25,Dried longan,China,Hong Kong Sing Hung Food Co.,Fruit,0.06Â mg/kg,,FSC 1.4.2,Surveillance,& vegetable residue screen - Carbendazim not permitted in this food,- HO match 15899
2022-05-26,Frozen walking catfish,Thailand,Sethachon Co Ltd ,Enrofloxacin,0.078Â mg/kg,,FSC 1.4.2,Surveillance,not permitted in this food,- HO number 17849
2022-05-26,Frozen walking catfish,Thailand,Sethachon Co Ltd ,Fluoroquinolones,0.048Â mg/kg,,FSC 1.4.2,Surveillance,- Ciprofloxacin not permitted in this food,- HO number 17849
2022-05-26,Prepared mackerel,Japan,Yoshukogyo Co.Â Ltd.,Listeria,DetectedÂ /125g,,FSH 07/2018,Risk,monocytogenes detected,
2022-05-27,Okra,India,Aerath Business Corporation,Monocrotophos,0.05Â mg/kg,,FSC 1.4.2,Surveillance,not permitted in this food,- HO match 14568
2022-05-27,Squid dumpling,Korea Republic Of,Narae Foods Co Ltd,Composition,,,FSC 1.3.2,Surveillance,- Vitamin C not permitted in this food,- HO match 17385
2022-05-27,Okra,India,Aerath Business Corporation,Fruit,0.23Â mg/kg,,FSC 1.4.2,Surveillance,& vegetable residue screen - Acephate not permitted in this food ,- HO match 14568
2022-05-30,Taro ,Taiwan,Everstyle Foodstuff Industrial Co Ltd,Composition,,,FSC 1.3.1,Surveillance,"- additive; E127, Erythrosine not permitted in this food",- HO number 17846
2022-05-30,Peanut candy,Brazil,Prompt Comercio De Alimentos Ltda,Aflatoxin,0.031Â mg/kg,,NUT 11/2018,Risk,detected in excess of level permitted,
2022-06-02,Fresh baby corn,Thailand,Exoriens Fresh Ltd.,Escherichia,"460,",">1100, >1100, <3, 1100Â MPN/g",FSC 1.6.1,Surveillance,coli detected in excess of levels permitted,- HO number 17864
2022-06-03,Cooked prawn meat,China,Zhangzhou Xinwanya Aquatic Product Ltd Company,Listeria,DetectedÂ /125g,,CRU 11/2020,Risk,monocytogenes detected,
2022-06-08,Magur fish,Myanmar,Shwe Myanmar Investment And Commercial Co Ltd,Malachite,0.012Â mg/kg,,FSC 1.4.2,Surveillance,green - Leucomalachite green not permitted in this food,- HO number 17874
2022-06-08,Garlic shoots,China,Jiangsu Hugo Fresh International Trading Co,Difenoconazole,0.13Â mg/kg,,FSC 1.4.2,Surveillance,detected in excess of MRL,- HO number 17875
2022-06-08,Cassava stick chips,India,Kottackal Agro Foods,Hydrocyanic,12Â mg/kg,,CAS 09/2016,Risk,acid detected in excess of level permitted,
2022-06-08,Garlic shoots,China,Jiangsu Hugo Fresh International Trading Co,Fruit,0.15Â mg/kg,,FSC 1.4.2,Surveillance,& vegetable residue screen - Carbendazim detected in excess of MRL,- HO number 17875
2022-06-10,Blanched peanuts,China,Ahcof Industrial Development Co Ltd (China),Aflatoxin,0.08Â mg/kg,,NUT 11/2018,Risk,detected in excess of level permitted,
2022-06-10,Black pepper & cumin wafer papads,India,Raj International,Composition,,,FSC 1.3.1,Surveillance,- additive; sodium benzoate not permitted in this food.,- HO match 17738
2022-06-10,Kashmiri chilli powder,India,Badshah Masala,Salmonella,DetectedÂ /125g,,SPI 06/2019,Risk,detected,
2022-06-14,Tandaljo (Indian spinach),India,Innovative Cuisine,Fruit,0.03Â mg/kg,,1.4.2,Surveillance,& vegetable residue screen - Chlorpyrifos detected in excess of MRL,- HO number 17886
2022-06-15,Dried black barberries,Iran Islamic Republic of,Kambiz Co,Fruit,0.26,mg/kg,FSC 1.4.2,Risk,& vegetable residue screen - Fenitrothion not permitted in this food,
2022-06-15,Pistachio kernels shelled,China,Guangdong Nan Xing Rainbow Nut Co Ltd,Aflatoxin,0.06Â mg/kg,,NUT 11/2018,Risk,detected in excess of level permitted,
2022-06-15,Dried king fish,Myanmar,City Majesty Co Ltd,Histamine,240,mg/kg,HIS 12/2016,Risk,detected in excess of level permitted,
2022-06-16,Frozen barramundi fish fillet,Iran Islamic Republic Of,Ramooz Fish Farming Co,Fluoroquinolones,0.012Â mg/kg,,FSC 1.4.2,Surveillance,- Enrofloxacin not permitted in this food,- HO number 17908
2022-06-20,Dried dates,Jordan,Alkotof Aldanya Co,Fruit,0.31Â mg/kg,,FSC 1.4.2,Surveillance,& vegetable residue screen - Carbendazim not permitted in this food,- HO number 17889
2022-06-20,Okra,India,Aerath Business Corporation,Monocrotophos,0.06Â mg/kg,,FSC 1.4.2,Surveillance,not permitted in this food,- HO match 14568
2022-06-20,Okra,India,Aerath Business Corporation,Fruit,0.06Â mg/kg,,FSC 1.4.2,Surveillance,& vegetable residue screen - Methamidophos not permitted in this food,- HO match 14568
2022-06-20,Strawberries,India,Iceage Cold Storage,Fruit,0.1Â mg/kg,,FSC 1.4.2,Risk,& vegetable residue screen - Acephate not permitted in this food,
2022-06-21,Corn and soya cereal,Nigeria,Nestle Nigeria,Composition,,,FSC 1.3.2,Surveillance,- additive; Vitamin B5 pantothenate not permitted in this food,- HO number 17898
2022-06-23,Pistachio,Iran Islamic Republic of,Green Bay,Aflatoxin,0.23,mg/kg,NUT 11/2018,Risk,detected in excess of level permitted,
2022-06-23,Pistachio,Iran Islamic Republic Of,Tolidi Barzargani Belok Tejarat Tav,Aflatoxin,0.58Â mg/kg,,NUT 11/2018,Risk,detected in excess of level permitted,
2022-06-27,Kelp powder,Korea Republic Of,"Tojongherb Co., Ltd",Iodine,4960Â mg/kg,,BSW 12/2016,Risk,detected in excess of level permitted,
2022-06-28,Frozen yellowfin tuna chunks,Indonesia,Pt Anugerah Mina Sejahtera,Histamine,270Â mg/kg,,HIS 12/2016,Risk,detected in excess of level permitted,
2022-06-30,Dried round headless fish,Thailand,Chonburi Lc Co Ltd (Establishment 3106),Fluoroquinolones,0.009,mg/kg,FSC 1.4.2,Surveillance,- Enrofloxacin not permitted in this food,- HO number 17929
2022-06-30,Toor dal lentils,India,Batra Enterprises,Fruit,0.02Â mg/kg,,FSC 1.4.2,Surveillance,& vegetable residue screen - Chlorpyrifos detected in excess of MRL,- HO match 16117
2022-07-01,Kashmiri chilli powder,India,Aerath Business Corporation,Salmonella,Detected,/125g,SPI 06/2019,Risk,detected,
2022-07-04,Frozen blueberries,Germany,Quadrum Foods,Fruit,0.06,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Difenoconazole detected in excess of MRL,- HO number 17927
2022-07-07,Betel nut,Nepal,Laligurans Traders Pvt Ltd,Composition,,,FSC 1.4.4,Risk,- Prohibited plant - Betel nut (Areca catechu),
2022-07-07,Fresh lychee ,Vietnam,"Dt-Pro Co.,Ltd",Fruit,0.11,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Permethrin detected in excess of MRL ,- HO match 14386
2022-07-12,Energy drink,Thailand,T.C. Pharmaceutical Industries Co Ltd,Composition,,,FSC 1.3.2,Surveillance,- Choline not permitted in this food,- HO match 16787
2022-07-15,Frozen mussel meat,Chile,Blue Shell S.A.,Escherichia,"<2,","<2, <2, 5, 5 MPN/g",MOL 12/2021,Risk,coliÂ (E. coli) detected in excess of levels permitted,
2022-07-15,Peanut Butter,India,Alpino Health Foods Private Limited (Gujarat),Aflatoxin,0.024,mg/kg,NUT 11/2018,Risk,detected in excess of level permitted,
2022-07-25,Black sesame soymilk,Thailand,Lactasoy Co Ltd,Composition,,,FSC 1.3.2,Surveillance,"- Vitamin E, Niacin, Pantothenic acid, Iron not permitted in this food",- HO number 17946
2022-07-25,Strawberries,China,Frotasty Foods Group Co Ltd,Procymidone,0.04,mg/kg,FSC 1.4.2,Risk,detected in excess of MRL,
2022-07-25,Strawberries,China,Frotasty Foods Group Co Ltd,Fruit,0.04,mg/kg,FSC 1.4.2,Risk,& vegetable residue screen - Paclobutrazol detected in excess of MRL,
2022-07-26,Shrimps in sauce,China,Ningbo Glory International Corporation,Listeria,Detected,/125g,CRU 11/2020,Risk,monocytogenes detected,
2022-07-27,White & black anchovies,Philippines,Yang Yang Food Products,Histamine,"370,",500 mg/kg,HIS 12/2016,Risk,detected in excess of level permitted,
2022-07-28,Cassava chips,India,Kottackal Agro Foods,Hydrocyanic,14,mg/kg,CAS 09/2016,Risk,acid detected in excess of level permitted,
2022-08-01,Manathakkali Vathal (Solanum nigrum),India,Visnukumar (India),Composition,,,FSC 1.4.4,Risk,-Â Prohibited plant - Solanum nigrum,
2022-08-03,"Fresh onion flower, Fresh garlic sprout",China,Shandong Malle Produce Co Ltd,Fruit,4.84,"mg/kg, ",FSC 1.4.2,Surveillance,& vegetable residue screen - Iprodione detected in excess of MRL,â€“ HO number 17960
2022-08-03,"Fresh onion flower, Fresh garlic sprout",China,Shandong Malle Produce Co Ltd,Fruit,0.6,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Iprodione detected in excess of MRL,â€“ HO number 17960
2022-08-05,Frozen yellow catfish,Vietnam,Lifes Food Export Import Limited Company,Enrofloxacin,0.009,mg/kg,FSC 1.4.2,Surveillance,not permitted in this food,â€“ HO number 17952
2022-08-05,Frozen yellow catfish,Vietnam,Lifes Food Export Import Limited Company,Fluoroquinolones,0.003,mg/kg,FSC 1.4.2,Surveillance,- Ciprofloxacin not permitted in this food,â€“ HO number 17952
2022-08-08,Passion fruit concentrate,Korea Republic of,Sungbo,Composition,,,FSC 1.3.1,Surveillance,- Additive; red colour not permitted in this food,â€“ HO number 17961
2022-08-10,Flavoured Pan Masala,India,Brothers Grocery,Composition,,,FSC 1.4.4,Risk,-Â Prohibited plant - Betel nutÂ (Areca catechu),
2022-08-11,Peanuts,Turkey,Omak Gida Mad. San. Ulus. Nak. Ith.Imr. Paz. Bes. Ve Tic. Ltd,Aflatoxin,0.016,mg/kg,NUT 11/2018,Risk,detected in excess of levels permitted,
2022-08-11,Peanuts,Turkey,Omak Gida Mad. San. Ulus. Nak. Ith.Imr. Paz. Bes. Ve Tic. Ltd,Aflatoxin,0.023,"mg/kg, ",NUT 11/2018,Risk,detected in excess of levels permitted,
2022-08-12,Frozen chilli - no stem,Vietnam,Vasifood Trading Production Co Ltd,Fruit,0.47,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Hexaconazole not permitted in this food,â€“ HO number 17963
2022-08-12,Roasted peanuts - various flavours,China,"Fujian Longyan Niucheshui Foodstuffs Co.,Ltd.",Aflatoxin,0.063,mg/kg,NUT 11/2018,Risk,detected in excess of levels permitted,
2022-08-12,Freeze-dried strawberry,China,Laiyang Shenzhouyiwei Foodstuff Co Ltd,Fruit,0.3,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Procymidone detected in excess of MRL,â€“ HO number 17974
2022-08-15,Roasted peanut,China,"Hubei Qiwei Food Co., Ltd.",Aflatoxin,0.032,mg/kg,NUT 11/2018,Risk,detected in excess of levels permitted,
2022-08-15,Frozen oysters,Taiwan,"Hifresh Intl., Co., Ltd",Escherichia,"2.3,","<2.3, 4.3, 4.3, <2.3",MOL 12/2021,Risk,coliÂ detected in excess of levels permitted,
2022-08-16,Frozen mussel meat,Chile,Blue Shell S.A.,Escherichia,"<2,","2, 7, 8, <2",MOL 12/2021,Risk,coliÂ detected in excess of levels permitted,
2022-08-22,Peanuts,Argentina,Beatrice Comercio Importacao E Exportacao De Amendom Ltda,Aflatoxin,0.042,mg/kg,NUT 11/2018,Risk,detected in excess of levels permitted,
2022-08-22,Dried kelp,Korea Republic of,Namdo General Food,Iodine,3600,mg/kg,BSW 12/2021,Risk,detected in excess of levels permitted,
2022-08-23,Nougat 38% pistachio,Iran Islamic Republic of,Gaz Kermani,AflatoxinÂ detected,0.9,mg/kg,NUT 11/2018,Risk,in excess of level permitted,
2022-08-25,Chilli,Vietnam,Cong Ty Tnhh Mtv Che Bien Nong San Bach Mai,Salmonella,Detected,/125g,SPI 06/2019,Risk,detected,
2022-08-26,Beef stock pot,Italy,Menz & Gasser Spa,BSE,,,BEF 11/2018,Risk,government certification from country of origin not provided,
2022-08-29,Barramundi fillets,"Iran, Islamic Republic of",Ramooz Fish Farming Co,Fluoroquinolones,0.003,mg/kg,FSC 1.4.2,Surveillance,- Enrofloxacin not permitted in this food,- HO number 17999
2022-08-30,Frozen green beans,India,Benz Exports,Fruit,0.02,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Chlorpyrifos detected in excess of MRL,- HO match 17046
2022-08-30,White pepper powder,Malaysia,Joo Lee Import And Export Co Sdn Bhd,Salmonella,Detected,/125g,SPI 06/2019,Risk,detected,
2022-08-31,Palak spinach,India,Innovative Cuisine,Fruit,0.4,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Chlorpyrifos detected in excess of MRL,- HO match 17886
2022-09-05,Dried bracken (Pteridium aquilinum),Korea Republic of,"Seolak Green Food Co.,Ltd",Composition,,,FSC 1.4.4,Risk,-Â Prohibited plant - Pteridium aquilinum,
2022-09-06,Betel nut,Myanmar,"Global Gifts Trading Co., Ltd",Composition,,,FSC 1.4.4,Risk,-Â Prohibited plant - Betel nut,
2022-09-07,Anchovy pieces in sunflower oil,Italy,Mondofish Di Calogero Ciaccio,HistamineÂ detected,550,mg/kg,HIS 12/2016,Risk,in excess of level permitted,
2022-09-08,Charcoal grilled eel,China,Fuqing Qixiang Food Co Ltd,Listeria,Detected,/125g,FSH 07/2018,Risk,monocytogenes detected,
2022-09-09,Frozen blood clams,Indonesia,Koperasi Serba Usaha Adi Jaya Lestari,Escherichia,"<2,","13, 8, <2, <2 MPN/g",MOL 12/2021,Risk,coli detected in excess of levels permitted,
2022-09-09,Frozen crab meat,Vietnam,Cong Ty Tnhh Thuy San Duc Thanh,Nitrofurans,0.08,mg/kg,FSC 1.4.2,Surveillance,- Nitrofurazone not permitted in this food,- HO number 18029
2022-09-12,Anchovies,Spain,Justo Lopez Valcarcel,HistamineÂ detected,818,mg/kg,HIS 12/2016,Risk,in excess of level permitted,
2022-09-13,Pistachio kernels,Iran Islamic Republic of,Hegr Gostar Ferozan Aras,AflatoxinÂ detected,0.109,mg/kg,NUT 11/2018,Risk,in excess of level permitted,
2022-09-13,Peanut balls,India,Nilamel Exports,AflatoxinÂ detected,0.75,mg/kg,NUT 11/2018,Risk,in excess of level permitted,
2022-09-14,Frozen cooked clam,Vietnam,Da Giau Production Co,Escherichia,"8,","<2, 2, <2, <2 MPN/g",MOL 12/2021,Risk,coli detected in excess of levels permitted,
2022-09-14,Frozen cooked blood cockle,Vietnam,Da Giau Production Co,Escherichia,"8,","4, <2, <2, <2 MPN/g",MOL 12/2021,Risk,coli detected in excess of levels permitted,
2022-09-14,Frozen razor clam,Vietnam,Da Giau Production Co,Escherichia,"<2,","7, 2, 33, 26 MPN/g",MOL 12/2021,Risk,coli detected in excess of levels permitted,
2022-09-14,Instant coffee sachets,Philippines,Universal Robina Corp,Composition,,,FSC 1.3.1,Surveillance,- Additive; Colour (Riboflavin E101) not permitted in this food.,- HO number 18033
2022-09-14,Frozen raw prawn cutlets peeled deveined tail on,Vietnam,Viet Shrimp Corporation,FluoroquinolonesÂ -,0.012,mg/kg,FSC 1.4.2,Surveillance,Enrofloxacin not permitted in this food,- HO number 18036
2022-09-14,Seaweed,China,Jinjinag City Zhenzhiwei Food Industrial Co Ltd,Iodine,1100,mg/kg,BSW 12/2016,Risk,detected in excess of levels permitted,
2022-09-15,Fruit flavoured jelly babies,South Africa,Mister Sweet Pty Ltd,Composition,,,FSC 1.3.1,Surveillance,- Additive; erythrosine (E127) not permitted in this food,- HO match - 13629
2022-09-15,Macaroni pasta,India,Ss Enterprises,Composition,,,FSC 1.3.2,Surveillance,- Vitamin B12 not permitted in this food,- HO number 18054
2022-09-16,Peanut butter,Philippines,Newborn Food Products (Philippines),AflatoxinÂ detected,0.016,mg/kg,NUT 11/2018,Risk,in excess of level permitted,
2022-09-16,Dried short mackerel ,Philippines,Hls Aqua Products,HistamineÂ detected,240,mg/kg,HIS 12/2016,Risk,in excess of level permitted,
2022-09-16,Spiced peanuts - various flavours,India,Auslin Foods Pvt Ltd,AflatoxinÂ detected,"0.17,",,NUT 11/2018,Risk,in excess of level permitted,
2022-09-16,Spiced peanuts - various flavours,India,Auslin Foods Pvt Ltd,AflatoxinÂ detected,"0.38,",0.095 mg/kg,NUT 11/2018,Risk,in excess of level permitted,
2022-09-16,Fresh onion flower,China ,Shandong Jiamei Food Co Ltd,Fruit,4.76,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screenÂ - Iprodine detected in excess of MRL,- HO number 18055
2022-09-16,Garlic sprouts,China ,Shandong Jiamei Food Co Ltd,Iprodine,0.94,mg/kg,FSC 1.4.2,Surveillance,detected in excess of MRL,- HO number 18056
2022-09-21,Chilli powder,India,Vasudev World Export Pvt Ltd,Salmonella,Detected,/125g,SPI 16/2019,Risk,detected,
2022-09-26,Chopped spinach ,India,Innovative Cuisine,Fruit,1.46,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screenÂ - Chlorpyrifos detected in excess of MRL,- HO match 17886
2022-09-26,Peanut snacks,Nigeria,Emphil Intergrated Links Ltd,AflatoxinÂ detected,"0.18,",0.11 mg/kg,NUT 11/2018,Risk,in excess of level permitted,
2022-09-26,Green sultanas,India,Utility Impex (India),Fruit,0.61,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screenÂ - Carbendazim detected in excess of MRL,- HO number 18064
2022-09-27,Spiced peanuts,India,Haldiram Foods International Pvt Ltd,AflatoxinÂ detected,1.111,mg/kg,NUT 11/2018,Risk,in excess of level permitted,
2022-09-29,Birthday cake flavoured cereal,Canada,Post Foods Canada Inc,Composition,,,FSC 1.3.1,Surveillance,- Additive; Erythrosine (E127) not permitted in this food,- HO number 18167
2022-09-30,Dried shrimp,Vietnam,Cuong Thinh Phat Food Company Limited,Nitrofurans,"0.003,",0.006 mg/kg,FSC 1.4.2,Risk,- Nitrofurazone not permitted in this food,
2022-09-30,Frozen blueberries,Canada,Alex Ingredients Inc,Fruit,7.1,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screenÂ - Spirotetramat detected in excess of MRL,- HO number 18100
2022-09-30,Roasted peanuts,India,Malabar Natural Foods Pvt Ltd,AflatoxinÂ detected,0.02,mg/kg,NUT 11/2018,Risk,in excess of level permitted,
2022-10-07,Dragon fruit,Vietnam,Goodlife Holdings Company,Fruit,0.11,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Permethrin detected in excess of MRL,- HO match 17643
2022-10-10,Polyflora honey,Malaysia,Rinting Harmoni Resources,Evidence,Could,"not be determined, insufficient protein",FSC 2.8.2,Surveillance,of blended or artificial honey being misrepresented as honey as indicated by C4 analysis.,- HO number 18171
2022-10-10,Polyflora honey,Malaysia,Rinting Harmoni Resources,Evidence,Could,"not be determined, insufficient protein",FSC 2.8.2,Surveillance,of blended or artificial honey being misrepresented as honey as indicated by C4 analysis. ,- HO number 18171
2022-10-10,Polyflora honey,Malaysia,Rinting Harmoni Resources,Moisture,21.60%,,FSC 2.8.2,Surveillance,content in excess of level permitted,- HO number 18171
2022-10-11,Dried seaweed vegetable,China,Dalian Jinying Marine Products Co Ltd,IodineÂ detected,1100,mg/kg,BSW 12/2021,Risk,in excess of levels permitted,
2022-10-12,Granulated peanuts,China,Shandong Fengsheng Foods Co Ltd (Shandong China),AflatoxinÂ detected,0.067,mg/kg,NUT 11/2018,Risk,in excess of levels permitted,
2022-10-13,Peanut masala,India,M H Foods,AflatoxinÂ detected,0.1,mg/kg,NUT 11/2018,Risk,in excess of levels permitted,
2022-10-13,Peanut bars,India,Visnukumar Traders Pvt Ltd,AflatoxinÂ detected,0.03,mg/kg,NUT 11/2018,Risk,in excess of levels permitted,
2022-10-19,Blood clam,Indonesia,Koperasi Serba Usaha Adi Jaya Lestari,Escherichia,"<2,","8, <2, <2, <2 MPN/g",MOL 12/2021,Risk,coli detected in excess of levels permitted,
2022-10-20,Dried longan meat,Thailand,Thai Top Choice Export Company Ltd (Thailand),Fruit,0.09,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Carbendazim not permitted in this food,- HO match 17756
2022-10-20,Dried longan meat,Thailand,Thai Top Choice Export Company Ltd (Thailand),Chlorpyrifos,0.02,mg/kg,FSC 1.4.2,Surveillance,not permitted in this food,- HO match 17756
2022-10-21,Frozen minced green molokhia,Egypt,Orouba For Food Industry Co,Fruit,0.02,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Chlorpyrifos detected in excess of MRL,- HO number 18095
2022-10-24,Breakfast cereal,Nigeria,Feco Foods Industries Limited,Composition,,,FSC 1.3.2,Surveillance,- Vitamin B5 not permitted in this food,- HO number 18104
2022-10-24,Frozen green peas,China,Shanghai Dongmei Import And Export Co Ltd,Fruit,0.05,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Chlorpyrifos detected in excess of MRL,- HO number 18099
2022-10-24,Chilli powder,South Africa,Osman's Spice Works Cc (Durban South Africa),SalmonellaÂ detected,Detected,/125g,SPI 06/2019,Risk,,
2022-10-26,Giant taro,Tonga,Vava'u Pasifika Trade,Composition,,,FSC 1.4.4,Risk,- Prohibited plant - Alocasia macrorrhiza,
2022-10-27,Rice - milled (Oryza sativa),Japan,"Shimizu Katsumasa Beikokuten Co., Ltd",Visual,,,Imported Food Control Act Section 3(2),Surveillance,- The food is unfit for human consumption - insect contamination,- HO number 18114
2022-10-27,Vannamei prawn cooked peeled and deveined,Vietnam,Seavina Joint Stock Company,Listeria,Detected,/125g,CRU 11/2020,Risk,monocytogenes detected,
2022-10-27,Fish balls,China,Shenzhen Proway Leather Products,Listeria,Detected,/125g,FSH 07/2018,Risk,monocytogenes detected,
2022-10-31,Seasoned spicy baby octopus,China,Shanghai Yangqi Foods Co Ltd,Composition,,,FSC 1.3.1,Surveillance,- additive; Erythrosine (127) not permitted in this food,- HO number 18116
2022-11-02,Frozen crab meat,Vietnam,Cong Ty Tnhh Thuy San Duc Thanh,Nitrofurans,0.012,mg/kg,FSC 1.4.2,Surveillance,- Nitrofurazone not permitted in this food,- HO number 18117
2022-11-02,Kelp,China,Guangzhou Jianhuanhang Trading Co. Ltd,Iodine,2800,"mg/kg, 3500 mg/kg",BSW 12/2016,Risk,detected in excess of levels permitted,
2022-11-04,Mackerel fillet,Vietnam,Viet Trang Co Ltd,Histamine,424,mg/kg,HIS 12/2016,Risk,detected in excess of level permitted,
2022-11-07,Mixed fruit jam,India,Dorsal Expoventure Private Limited,Composition,,,FSC 1.3.2,Surveillance,"- Vitamin A, vitamin B6, vitamin B7 & mineral zinc are not permitted in this food",- HO match 15671
2022-11-07,Gorgonzola piccante (blue cheese),Italy,Arrigoni Battista Spa,Listeria,Detected,/125g,FSC 1.6.1,Risk,monocytogenes detected,
2022-11-07,Coated peanuts,China,"Guangodng Hongrun Food Co.,Ltd.",Aflatoxin,0.16,mg/kg,NUT 11/2018,Risk,detected in excess of level permitted,
2022-11-10,Dried seedless red date,China,Yi Cheng Da Shan He Mushroom Technology,Fruit,0.01,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen - Cyhalothrin not permitted in this food,- HO number 18139
2022-11-10,Dried seedless red date,China,Yi Cheng Da Shan He Mushroom Technology,Propargite,0.13,mg/kg,FSC 1.4.2,Surveillance,not permitted in this food,- HO number 18139
2022-11-11,Fufu mix (plantain & cocoyam),United States,Adusei Corporation,Composition,,,FSC 1.3.2,Surveillance,- Vitamin A palmitate and D-calcium pantothenate (B5) not permitted in this food,- HO number 18134
2022-11-11,Toor dall,Myanmar,Ays Mfg Co Ltd,Fruit,0.03,mg/kg,FSC 1.4.2,Surveillance,& vegetable residue screen -Chlorpyrifos detected in excess of levels permitted,- HO match 15323
2022-11-14,Breakfast cereal with marshmallows ,United States,Louts Group,Composition,,,FSC 1.3.1,Surveillance,- Additive; erythrosine (127) not permitted in this food,- HO number 18168
2022-11-17,Raw prawns tail off,Vietnam,Tacvan Frozen Seafood Processing Export Company (Tacvan Seafoods Co),Fluoroquinolones,0.002,mg/kg,FSC 1.4.2,Surveillance,- Enrofloxacin not permitted in this food,- HO number 18138
2022-11-17,Salted anchovies,Philippines,Pixcel Transglobal Food Inc,Histamine,249mg/kg,,HIS 12/2016,Risk,detected in excess of level permitted,
2022-11-21,Kelp sheet,Japan,Yamato Takahashi Co Ltd (Japan),Iodine,2800,mg/kg,BSW 12/2016,Risk,detected in excess of level permitted,
2022-11-22,Malt drinks,India,Hindustan Unilever Ltd,Composition,,,FSC 1.3.2,Surveillance,- Additive; selenium & copper not permitted in this food,- HO number 18169
2022-11-22,Fruit flavoured chews,South Africa,Mister Sweet Pty Ltd,Composition,,,FSC 1.3.1,Surveillance,- Additive; erythrosine (E127) not permitted in this food,- HO match 13629
2022-11-23,Flavoured soft drink (fruit yoghurt drink),China,Shenzhen Bright Of Industry Development Co,Composition,,,FSC 1.3.2,Surveillance,- Vitamin E & vitamin B3 not permitted in this food,- HO number 18143
2022-11-28,Toma san sebastiano cheese,Italy,Luigi Guffanti 1876 Srl,Listeria,Detected,/125g,CHE 07/2018,Risk,monocytogenes detected,
2022-11-28,Peanut butter,Sierra Leone,Binta Saadu Investment,Visual,,,Imported Food Control Act section 3(2),Risk,- the food is unfit for human consumption - food shows signs of consistent contamination,
2022-11-28,Roasted & salted pistachio,Turkey,Seyran Gida San Ve Tic As (Denizli Turkey),Aflatoxin,0.021,mg/kg,NUT 11/2018,Risk,detected in excess of level permitted,
