Date_of_fail,Product_description,Country_of_origin,Producer_name,Reason_for_fail,Results,Units,Reference,Category,Test_applied,Holding_order_number
2022-02-23,barramundi fillets,sri lanka,oceanpick,ciprofloxacin not permitted in this food,"0.003, 0.003",mg/kg,fsc 142,surveillance,fluoroquinolones,17242
2022-02-23,barramundi fillets,sri lanka,oceanpick,enrofloxacin not permitted in this food,0.004,mg/kg,fsc 142,surveillance,fluoroquinolones,17242
2022-02-24,mouth freshener,india,harihar foods,prohibited plant areca catechu nut,,N/AÃÂ ,fsc 144,risk,composition,
2022-02-28,cheese,italy,valle fine foods italia srls,visual,,,imported food control act section 32,risk,the food is unfit for human consumption  mould on product,
2022-03-01,tapioca chips  classic salt  salsa masala,india,a1 chips and exports,hydrocyanic,"25,","19, 22, 12 mg/kg",cas 092016,risk,acid detected in excess of level permitted,
2022-03-02,mouth freshener,india,utility impex,composition,,,fsc 144,risk,prohibited plant  betel nut areca catechu,
2022-03-02,maldive fish pieces,sri lanka,rasoja food products,histamine,"240,",290 mg/kg,his 122016,risk,detected in excess of level permitted,
2022-03-02,cayenne pepper,china,chengdu fengjun agricultural and sideline products processing factory,visual,,,imported food control act section 32,risk,the food is unfit for human consumption  insect contaminationinfestation,
2022-03-02,frozen strawberries,china,qingdao pan kai import export,fruit,0.03ÃÂ mg/kg,,fsc 142,risk,vegetable residue screen  procymidone detected in excess of mrl,
2022-03-02,crushed peanut button,india,frumar marketing,aflatoxin,0.007,mg/kg (product contains 35% peanut therefore calculated maximum level is 0.005),nut 112018,risk,detected in excess of level permitted,
2022-03-03,dried salted prawn meat,vietnam,southeast asia aquatic product import export,fluoroquinolones,0.016,mg/kg,fsc 142,surveillance,ciprofloxacin not permitted in this food,17697
2022-03-03,dried salted prawn meat,vietnam,southeast asia aquatic product import export,fluoroquinolones,0.005,mg/kg,fsc 142,surveillance,enrofloxacin not permitted in this food,17697
2022-03-03,dried salted prawn meat,vietnam,southeast asia aquatic product import export,nitrofurans,0.005,mg/kg,fsc 142,surveillance,furazolidone not permitted in this food,17697
2022-03-03,papad,india,raj international,composition,,,fsc 131,surveillance,additive sodium benzoate e211 not permitted in this food,17738
2022-03-04,extra hot chilli powder,india,harihar foods,salmonella,Detected,/125g,spi 062019,risk,detected,
2022-03-08,sliced herring fillets in oil,latvia,sia zvejnieku saimnieciba,listeria,Detected,/125g,fsh 072018,risk,monocytogenes detected,
2022-03-08,sugar apple,china,laiyang junjie foodstuff,fruit,0.02,mg/kg,fsc 142,surveillance,vegetable residue screen  cyhalothrin not permitted in this food,17720
2022-03-10,cooked prawn,bangladesh,bd seafood,nitrofurans,0.004ÃÂ mg/kg,,fsc 142,risk,nitrofurazone not permitted in this food,
2022-03-14,peanut bhujia,india,innovative cuisine,aflatoxin,0.034,mg/kg,nut 112018,risk,detected in excess of level permitted,
2022-03-14,frozen red chilli,vietnam,thong hong,fruit,0.13,mg/kg,fsc 142,surveillance,vegetable residue screen  permethrin detected in excess of mrl,17766
2022-03-15,dried salted anchovies,indonesia,cv sentoasa multi jaya,histamine,"1100,",890 mg/kg,his 122016,risk,detected in excess of level permitted,
2022-03-15,dried kelp,korea,nampo mulsan,iodine,"5200,",4200 mg/kg,bsw 122016,risk,detected in excess of level permitted,
2022-03-16,ocean raised barramundi fillets,sri lanka,oceanpick,fluoroquinolones,"0.002,","0.004, 0.003 mg/kg",fsc 142,surveillance,enrofloxacin not permitted in this food,17242
2022-03-16,frozen cleaned headless snakehead fish,vietnam,huy nam seafoods,fluoroquinolones,0.012,mg/kg,fsc 142,surveillance,ciprofloxacin not permitted in this food,17723
2022-03-16,dry ginger,malaysia,sabi food industries m   malaysia,visual,,,imported food control act section 32,surveillance,the food is unfit for human consumption  live infestation in goods,17109
2022-03-16,frozen cleaned headless snakehead fish,vietnam,huy nam seafoods,fluoroquinolones,0.003,mg/kg,fsc 142,surveillance,ofloxacin not permitted in this food,17723
2022-03-16,frozen cleaned headless snakehead fish,vietnam,huy nam seafoods,fluoroquinolones,0.003,mg/kg,fsc 142,surveillance,levofloxacin not permitted in this food,17723
2022-03-21,dried salted anchovies,indonesia,cv sentoasa multi jaya,histamine,730,mg/kg,his 122016,risk,detected in excess of level permitted,
2022-03-21,sweet preserved dried plums,china,guangdong nongfushanzhuang food,composition,,,fsc 131,surveillance,additive sodium benzoate not permitted in this food,17734
2022-03-22,green sultana raisin,india,khajanchi exports mumbai,fruit,3.48,mg/kg,fsc 142,surveillance,vegetable residue screen  carbendazim not permitted in this food,15860
2022-03-23,sesame seed,india,pramukh food exports,salmonella,Detected,/125g,ses 052014,risk,detected,
2022-03-25,ocean raised barramundi fillets,sri lanka,oceanpick,fluoroquinolones,"0.005,","0.006, 0.003, 0.004, 0.005 mg/kg",fsc 142,surveillance,enrofloxacin not permitted in this food,17242
2022-03-25,guanjillo chili ground,mexico,meximport food win s de rl,salmonella,Detected,/125g,spi 062019,risk,detected,
2022-03-25,coconut toffee,sri lanka,derana marketing services,composition,,,fsc 131,surveillance,additive colour 127 not permitted in this food,17737
2022-03-29,mango fresh,vietnam,dtpro,fruit,0.09,mg/kg,fsc 142,surveillance,vegetable residue screen  chlorpyrifos detected in excess of mrl,17083
2022-03-29,spinach,india,vivek agro products,fruit,0.06,mg/kg,fsc 142,surveillance,vegetable residue screen  chlorpyrifos detected in excess of mrl,17767
2022-03-29,spinach,india,vivek agro products,fruit,0.03,mg/kg,fsc 142,surveillance,vegetable residue screen  cyhalothrin not permitted in this food,17767
2022-03-29,spinach,india,vivek agro products,fruit,0.28,mg/kg,fsc 142,surveillance,vegetable residue screen  profenofos detected in excess of mrl,17767
2022-03-29,ocean raised barramundi fillets,sri lanka,oceanpick,fluoroquinolones,"0.003,",0.003 mg/kg,fsc 142,surveillance,enrofloxacin not permitted in this food,17242
2022-03-30,blanched peanuts,china,ahcof industrial development,aflatoxin,0.03,mg/kg,nut 112018,risk,detected in excess of level permitted,
2022-04-01,peanut bhujia,india,aakash global foods p,aflatoxin,0.053,mg/kg,nut 112018,risk,detected in excess of level permitted,
2022-04-01,maldive fish pieces,sri lanka,rasoja food products,histamine,210,mg/kg,his 122016,risk,detected in excess of level permitted,
2022-04-04,chilli powder,thailand,combine thai foods,salmonella,Detected,/125g,spi 062019,risk,detected,
2022-04-05,dried figs,china,anhui xinong pharma,fruit,0.21,mg/kg,fsc 142,surveillance,vegetable residue screen  cypermethrin detected in excess of mrl,17761
2022-04-05,red dates,china,anhui xinong pharma,fruit,0.06,mg/kg,fsc 142,surveillance,vegetable residue screen  difenoconazole detected in excess of mrl,17762
2022-04-05,peanut bars,nigeria,feco foods industries,aflatoxin,0.15,mg/kg,nut 112018,risk,detected in excess of level permitted,
2022-04-07,fish ambulthiyal,sri lanka,derana marketing services,histamine,530,mg/kg,his 122016,risk,detected in excess of level permitted,
2022-04-07,dried longan,thailand,thai top choice export company,fruit,0.05,mg/kg,fsc 142,surveillance,vegetable residue screen  carbendazim not permitted in this food,17756
2022-04-12,flavoured pan masala,india,jay siyaram import export private,composition,,,fsc 144,risk,prohibited plant  betel nut areca catechu,
2022-04-13,black sesame seeds,india,kitchen xpress overseas,salmonella,Detected,/125g,ses 052014,risk,detected,
2022-04-14,dried kelp,korea,chung hae s d,iodine,4300,mg/kg,bsw 122016,risk,detected in excess of level permitted,
2022-04-14,seasoned seaweed,japan,kurakon foods,iodine,4600,mg/kg,bsw 122016,risk,detected in excess of level permitted,
2022-04-19,roasted peanut snack,china,dongguan city shaerge food,aflatoxin,0.015,mg/kg,nut 112018,risk,detected in excess of level permitted being 0005 mgkg as 35 peanut in product,
2022-04-21,fagioli cannellini beans,italy,feger di gerardo ferraioli spa,visual,,,imported food control act section 32,surveillance,the food is unfit for human consumption  rusty can seals and dents in cans,17792
2022-04-21,flavoured pan masala,india,dharampal premchand,composition,,,fsc 144,risk,prohibited plant  betel nut areca catechu,
2022-04-22,barramundi fillets,sri lanka,oceanpick,fluoroquinolones,"0.003,",0.003 mg/kg,fsc 142,surveillance,enrofloxacin not permitted in this food,17242
2022-04-22,okra,india,aerath business,fruit,0.09,mg/kg,fsc 142,surveillance,vegetable residue screen  chlorpyrifos detected in excess of mrl,14568
2022-04-22,okra,india,aerath business,fruit,0.05,mg/kg,fsc 142,surveillance,vegetable residue screen  dimethoate not permitted in this food,14568
2022-04-22,pickled green pepper pickled vine leaves,lebanon,jean raad for industries and trade,composition,,,fsc 131,surveillance,additive sodium metabisulfite in excess of levels permitted,15967
2022-04-26,peanut candy,vietnam,aone vietnam liability  company,aflatoxin,0.021,mg/kg,nut 112018,risk,detected in excess of level permitted,
2022-04-26,barberry,iran,green bay,fruit,0.2,mg/kg,fsc 142,risk,vegetable residue screen  permethrin detected in excess of mrl,
2022-04-28,dry ginger ginger powder,malaysia,sabi food industries m   malaysia,visual,,,imported food control act section 32,surveillance,the food is unfit for human consumption  insects found in food packages,17109
2022-04-28,roasted supari with cashew,india,popular indian exports imports,composition,,,fsc 144,risk,prohibited plant  betel nut areca catechu,
2022-04-29,chilli  paprika powder,india,aerath business,salmonella,Detected,/125g,spi 062019,risk,detected,
2022-05-02,infant formula,germany,milupa gmbh,cronobacter,DetectedÃÂ /100g,,fsc 161,surveillance,detected,17797
2022-05-02,maldive fish chips,sri lanka,lakrasa food,histamine,"230,",240ÃÂ mg/kg,his 122016,risk,detected in excess of level permitted,
2022-05-05,roasted peanut,india,psk exports,aflatoxin,0.023ÃÂ mg/kg,,nut 112018,risk,detected in excess of level permitted,
2022-05-05,maldive fish chips,sri lanka,enrich tea and food exports,histamine,310ÃÂ mg/kg,,his 122016,risk,detected in excess of level permitted,
2022-05-09,frozen mackerel in konbu dashi,japan,yoshukogyo,listeria,DetectedÃÂ /125g,,fsh 072018,risk,monocytogenes detected,
2022-05-09,fish pickle,india,anchuthara food products alappuzha,histamine,345ÃÂ mg/kg,,his 122016,risk,detected in excess of level permitted,
2022-05-09,spinach chopped,china,yantai aofeng foodstuff,fruit,0.14ÃÂ mg/kg,,fsc 142,surveillance,vegetable residue screen  cyhalothrin not permitted in this food,17817
2022-05-11,cooked vannamei prawns,vietnam,ming phu hau giang seafood,fluoroquinolones,0.003ÃÂ mg/kg,,fsc 142,risk,enrofloxacin not permitted in this food,
2022-05-19,frozen okra,india,aerath business,fruit,0.09ÃÂ mg/kg,,fsc 142,surveillance,vegetable residue screen  acephate not permitted in this food,14568
2022-05-20,boldo tea,brazil,prompt comercio de alimentos ltda,composition,,,fsc 144,risk,prohibited plant  peumus boldus boldo leaves,
2022-05-20,candy,india,arhaan international,composition,,,fsc 131,surveillance,additive colour 50 d not permitted in this food,17851
2022-05-20,dried perilla leaves with plum,japan,mishima shokuhin,composition,,,fsc 131,surveillance,additive monascus colour not permitted in this food,17850
2022-05-23,chilled spanish mackerel,indonesia,pt iambeu mina utama,histamine,523ÃÂ mg/kg,,his 122016,risk,detected in excess of level permitted,
2022-05-24,giant taro taamu,samoa,samoa agro marketing,composition,,,fsc 144,risk,prohibited plant alocasia macrorrhiza,
2022-05-25,dried longan,china,hong kong sing hung food,fruit,0.06ÃÂ mg/kg,,fsc 142,surveillance,vegetable residue screen  carbendazim not permitted in this food,15899
2022-05-26,frozen walking catfish,thailand,sethachon,enrofloxacin,0.078ÃÂ mg/kg,,fsc 142,surveillance,not permitted in this food,17849
2022-05-26,frozen walking catfish,thailand,sethachon,fluoroquinolones,0.048ÃÂ mg/kg,,fsc 142,surveillance,ciprofloxacin not permitted in this food,17849
2022-05-26,prepared mackerel,japan,yoshukogyo,listeria,DetectedÃÂ /125g,,fsh 072018,risk,monocytogenes detected,
2022-05-27,okra,india,aerath business,monocrotophos,0.05ÃÂ mg/kg,,fsc 142,surveillance,not permitted in this food,14568
2022-05-27,squid dumpling,korea,narae foods,composition,,,fsc 132,surveillance,vitamin c not permitted in this food,17385
2022-05-27,okra,india,aerath business,fruit,0.23ÃÂ mg/kg,,fsc 142,surveillance,vegetable residue screen  acephate not permitted in this food,14568
2022-05-30,taro,taiwan,everstyle foodstuff industrial,composition,,,fsc 131,surveillance,additive e127 erythrosine not permitted in this food,17846
2022-05-30,peanut candy,brazil,prompt comercio de alimentos ltda,aflatoxin,0.031ÃÂ mg/kg,,nut 112018,risk,detected in excess of level permitted,
2022-06-02,fresh baby corn,thailand,exoriens fresh,escherichia,"460,",">1100, >1100, <3, 1100ÃÂ MPN/g",fsc 161,surveillance,coli detected in excess of levels permitted,17864
2022-06-03,cooked prawn meat,china,zhangzhou xinwanya aquatic product  company,listeria,DetectedÃÂ /125g,,cru 112020,risk,monocytogenes detected,
2022-06-08,magur fish,myanmar,shwe myanmar investment and commercial,malachite,0.012ÃÂ mg/kg,,fsc 142,surveillance,green  leucomalachite green not permitted in this food,17874
2022-06-08,garlic shoots,china,jiangsu hugo fresh international trading,difenoconazole,0.13ÃÂ mg/kg,,fsc 142,surveillance,detected in excess of mrl,17875
2022-06-08,cassava stick chips,india,kottackal agro foods,hydrocyanic,12ÃÂ mg/kg,,cas 092016,risk,acid detected in excess of level permitted,
2022-06-08,garlic shoots,china,jiangsu hugo fresh international trading,fruit,0.15ÃÂ mg/kg,,fsc 142,surveillance,vegetable residue screen  carbendazim detected in excess of mrl,17875
2022-06-10,blanched peanuts,china,ahcof industrial development,aflatoxin,0.08ÃÂ mg/kg,,nut 112018,risk,detected in excess of level permitted,
2022-06-10,black pepper  cumin wafer papads,india,raj international,composition,,,fsc 131,surveillance,additive sodium benzoate not permitted in this food,17738
2022-06-10,kashmiri chilli powder,india,badshah masala,salmonella,DetectedÃÂ /125g,,spi 062019,risk,detected,
2022-06-14,tandaljo indian spinach,india,innovative cuisine,fruit,0.03ÃÂ mg/kg,,142,surveillance,vegetable residue screen  chlorpyrifos detected in excess of mrl,17886
2022-06-15,dried black barberries,iran,kambiz,fruit,0.26,mg/kg,fsc 142,risk,vegetable residue screen  fenitrothion not permitted in this food,
2022-06-15,pistachio kernels shelled,china,guangdong nan xing rainbow nut,aflatoxin,0.06ÃÂ mg/kg,,nut 112018,risk,detected in excess of level permitted,
2022-06-15,dried king fish,myanmar,city majesty,histamine,240,mg/kg,his 122016,risk,detected in excess of level permitted,
2022-06-16,frozen barramundi fish fillet,iran,ramooz fish farming,fluoroquinolones,0.012ÃÂ mg/kg,,fsc 142,surveillance,enrofloxacin not permitted in this food,17908
2022-06-20,dried dates,jordan,alkotof aldanya,fruit,0.31ÃÂ mg/kg,,fsc 142,surveillance,vegetable residue screen  carbendazim not permitted in this food,17889
2022-06-20,okra,india,aerath business,monocrotophos,0.06ÃÂ mg/kg,,fsc 142,surveillance,not permitted in this food,14568
2022-06-20,okra,india,aerath business,fruit,0.06ÃÂ mg/kg,,fsc 142,surveillance,vegetable residue screen  methamidophos not permitted in this food,14568
2022-06-20,strawberries,india,iceage cold storage,fruit,0.1ÃÂ mg/kg,,fsc 142,risk,vegetable residue screen  acephate not permitted in this food,
2022-06-21,corn and soya cereal,nigeria,nestle nigeria,composition,,,fsc 132,surveillance,additive vitamin b5 pantothenate not permitted in this food,17898
2022-06-23,pistachio,iran,green bay,aflatoxin,0.23,mg/kg,nut 112018,risk,detected in excess of level permitted,
2022-06-23,pistachio,iran,tolidi barzargani belok tejarat tav,aflatoxin,0.58ÃÂ mg/kg,,nut 112018,risk,detected in excess of level permitted,
2022-06-27,kelp powder,korea,tojongherb,iodine,4960ÃÂ mg/kg,,bsw 122016,risk,detected in excess of level permitted,
2022-06-28,frozen yellowfin tuna chunks,indonesia,pt anugerah mina sejahtera,histamine,270ÃÂ mg/kg,,his 122016,risk,detected in excess of level permitted,
2022-06-30,dried round headless fish,thailand,chonburi lc   establishment 3106,fluoroquinolones,0.009,mg/kg,fsc 142,surveillance,enrofloxacin not permitted in this food,17929
2022-06-30,toor dal lentils,india,batra enterprises,fruit,0.02ÃÂ mg/kg,,fsc 142,surveillance,vegetable residue screen  chlorpyrifos detected in excess of mrl,16117
2022-07-01,kashmiri chilli powder,india,aerath business,salmonella,Detected,/125g,spi 062019,risk,detected,
2022-07-04,frozen blueberries,germany,quadrum foods,fruit,0.06,mg/kg,fsc 142,surveillance,vegetable residue screen  difenoconazole detected in excess of mrl,17927
2022-07-07,betel nut,nepal,laligurans traders,composition,,,fsc 144,risk,prohibited plant  betel nut areca catechu,
2022-07-07,fresh lychee,vietnam,dtpro coltd,fruit,0.11,mg/kg,fsc 142,surveillance,vegetable residue screen  permethrin detected in excess of mrl,14386
2022-07-12,energy drink,thailand,tc pharmaceutical industries,composition,,,fsc 132,surveillance,choline not permitted in this food,16787
2022-07-15,frozen mussel meat,chile,blue shell sa,escherichia,"<2,","<2, <2, 5, 5 MPN/g",mol 122021,risk,coli e coli detected in excess of levels permitted,
2022-07-15,peanut butter,india,alpino health foods private  gujarat,aflatoxin,0.024,mg/kg,nut 112018,risk,detected in excess of level permitted,
2022-07-25,black sesame soymilk,thailand,lactasoy,composition,,,fsc 132,surveillance,vitamin e niacin pantothenic acid iron not permitted in this food,17946
2022-07-25,strawberries,china,frotasty foods group,procymidone,0.04,mg/kg,fsc 142,risk,detected in excess of mrl,
2022-07-25,strawberries,china,frotasty foods group,fruit,0.04,mg/kg,fsc 142,risk,vegetable residue screen  paclobutrazol detected in excess of mrl,
2022-07-26,shrimps in sauce,china,ningbo glory international,listeria,Detected,/125g,cru 112020,risk,monocytogenes detected,
2022-07-27,white  black anchovies,philippines,yang yang food products,histamine,"370,",500 mg/kg,his 122016,risk,detected in excess of level permitted,
2022-07-28,cassava chips,india,kottackal agro foods,hydrocyanic,14,mg/kg,cas 092016,risk,acid detected in excess of level permitted,
2022-08-01,manathakkali vathal solanum nigrum,india,visnukumar,composition,,,fsc 144,risk,prohibited plant  solanum nigrum,
2022-08-03,fresh onion flower fresh garlic sprout,china,shandong malle produce,fruit,4.84,"mg/kg, ",fsc 142,surveillance,vegetable residue screen  iprodione detected in excess of mrl,17960
2022-08-03,fresh onion flower fresh garlic sprout,china,shandong malle produce,fruit,0.6,mg/kg,fsc 142,surveillance,vegetable residue screen  iprodione detected in excess of mrl,17960
2022-08-05,frozen yellow catfish,vietnam,lifes food export import  company,enrofloxacin,0.009,mg/kg,fsc 142,surveillance,not permitted in this food,17952
2022-08-05,frozen yellow catfish,vietnam,lifes food export import  company,fluoroquinolones,0.003,mg/kg,fsc 142,surveillance,ciprofloxacin not permitted in this food,17952
2022-08-08,passion fruit concentrate,korea,sungbo,composition,,,fsc 131,surveillance,additive red colour not permitted in this food,17961
2022-08-10,flavoured pan masala,india,brothers grocery,composition,,,fsc 144,risk,prohibited plant  betel nut areca catechu,
2022-08-11,peanuts,turkey,omak gida mad san ulus nak ithimr paz bes ve tic,aflatoxin,0.016,mg/kg,nut 112018,risk,detected in excess of levels permitted,
2022-08-11,peanuts,turkey,omak gida mad san ulus nak ithimr paz bes ve tic,aflatoxin,0.023,"mg/kg, ",nut 112018,risk,detected in excess of levels permitted,
2022-08-12,frozen chilli  no stem,vietnam,vasifood trading production,fruit,0.47,mg/kg,fsc 142,surveillance,vegetable residue screen  hexaconazole not permitted in this food,17963
2022-08-12,roasted peanuts  various flavours,china,fujian longyan niucheshui foodstuffs coltd,aflatoxin,0.063,mg/kg,nut 112018,risk,detected in excess of levels permitted,
2022-08-12,freezedried strawberry,china,laiyang shenzhouyiwei foodstuff,fruit,0.3,mg/kg,fsc 142,surveillance,vegetable residue screen  procymidone detected in excess of mrl,17974
2022-08-15,roasted peanut,china,hubei qiwei food,aflatoxin,0.032,mg/kg,nut 112018,risk,detected in excess of levels permitted,
2022-08-15,frozen oysters,taiwan,hifresh intl,escherichia,"2.3,","<2.3, 4.3, 4.3, <2.3",mol 122021,risk,coli detected in excess of levels permitted,
2022-08-16,frozen mussel meat,chile,blue shell sa,escherichia,"<2,","2, 7, 8, <2",mol 122021,risk,coli detected in excess of levels permitted,
2022-08-22,peanuts,argentina,beatrice comercio importacao e exportacao de amendom ltda,aflatoxin,0.042,mg/kg,nut 112018,risk,detected in excess of levels permitted,
2022-08-22,dried kelp,korea,namdo general food,iodine,3600,mg/kg,bsw 122021,risk,detected in excess of levels permitted,
2022-08-23,nougat 38 pistachio,iran,gaz kermani,aflatoxin detected,0.9,mg/kg,nut 112018,risk,in excess of level permitted,
2022-08-25,chilli,vietnam,cong ty tnhh mtv che bien nong san bach mai,salmonella,Detected,/125g,spi 062019,risk,detected,
2022-08-26,beef stock pot,italy,menz gasser spa,bse,,,bef 112018,risk,government certification from country of origin not provided,
2022-08-29,barramundi fillets,iran,ramooz fish farming,fluoroquinolones,0.003,mg/kg,fsc 142,surveillance,enrofloxacin not permitted in this food,17999
2022-08-30,frozen green beans,india,benz exports,fruit,0.02,mg/kg,fsc 142,surveillance,vegetable residue screen  chlorpyrifos detected in excess of mrl,17046
2022-08-30,white pepper powder,malaysia,joo lee import and export,salmonella,Detected,/125g,spi 062019,risk,detected,
2022-08-31,palak spinach,india,innovative cuisine,fruit,0.4,mg/kg,fsc 142,surveillance,vegetable residue screen  chlorpyrifos detected in excess of mrl,17886
2022-09-05,dried bracken pteridium aquilinum,korea,seolak green food coltd,composition,,,fsc 144,risk,prohibited plant  pteridium aquilinum,
2022-09-06,betel nut,myanmar,global gifts trading,composition,,,fsc 144,risk,prohibited plant  betel nut,
2022-09-07,anchovy pieces in sunflower oil,italy,mondofish di calogero ciaccio,histamine detected,550,mg/kg,his 122016,risk,in excess of level permitted,
2022-09-08,charcoal grilled eel,china,fuqing qixiang food,listeria,Detected,/125g,fsh 072018,risk,monocytogenes detected,
2022-09-09,frozen blood clams,indonesia,koperasi serba usaha adi jaya lestari,escherichia,"<2,","13, 8, <2, <2 MPN/g",mol 122021,risk,coli detected in excess of levels permitted,
2022-09-09,frozen crab meat,vietnam,cong ty tnhh thuy san duc thanh,nitrofurans,0.08,mg/kg,fsc 142,surveillance,nitrofurazone not permitted in this food,18029
2022-09-12,anchovies,spain,justo lopez valcarcel,histamine detected,818,mg/kg,his 122016,risk,in excess of level permitted,
2022-09-13,pistachio kernels,iran,hegr gostar ferozan aras,aflatoxin detected,0.109,mg/kg,nut 112018,risk,in excess of level permitted,
2022-09-13,peanut balls,india,nilamel exports,aflatoxin detected,0.75,mg/kg,nut 112018,risk,in excess of level permitted,
2022-09-14,frozen cooked clam,vietnam,da giau production,escherichia,"8,","<2, 2, <2, <2 MPN/g",mol 122021,risk,coli detected in excess of levels permitted,
2022-09-14,frozen cooked blood cockle,vietnam,da giau production,escherichia,"8,","4, <2, <2, <2 MPN/g",mol 122021,risk,coli detected in excess of levels permitted,
2022-09-14,frozen razor clam,vietnam,da giau production,escherichia,"<2,","7, 2, 33, 26 MPN/g",mol 122021,risk,coli detected in excess of levels permitted,
2022-09-14,instant coffee sachets,philippines,universal robina corp,composition,,,fsc 131,surveillance,additive colour riboflavin e101 not permitted in this food,18033
2022-09-14,frozen raw prawn cutlets peeled deveined tail on,vietnam,viet shrimp,fluoroquinolones,0.012,mg/kg,fsc 142,surveillance,enrofloxacin not permitted in this food,18036
2022-09-14,seaweed,china,jinjinag city zhenzhiwei food industrial,iodine,1100,mg/kg,bsw 122016,risk,detected in excess of levels permitted,
2022-09-15,fruit flavoured jelly babies,south africa,mister sweet,composition,,,fsc 131,surveillance,additive erythrosine e127 not permitted in this food,13629
2022-09-15,macaroni pasta,india,ss enterprises,composition,,,fsc 132,surveillance,vitamin b12 not permitted in this food,18054
2022-09-16,peanut butter,philippines,newborn food products philippines,aflatoxin detected,0.016,mg/kg,nut 112018,risk,in excess of level permitted,
2022-09-16,dried short mackerel,philippines,hls aqua products,histamine detected,240,mg/kg,his 122016,risk,in excess of level permitted,
2022-09-16,spiced peanuts  various flavours,india,auslin foods,aflatoxin detected,"0.17,",,nut 112018,risk,in excess of level permitted,
2022-09-16,spiced peanuts  various flavours,india,auslin foods,aflatoxin detected,"0.38,",0.095 mg/kg,nut 112018,risk,in excess of level permitted,
2022-09-16,fresh onion flower,china,shandong jiamei food,fruit,4.76,mg/kg,fsc 142,surveillance,vegetable residue screen  iprodine detected in excess of mrl,18055
2022-09-16,garlic sprouts,china,shandong jiamei food,iprodine,0.94,mg/kg,fsc 142,surveillance,detected in excess of mrl,18056
2022-09-21,chilli powder,india,vasudev world export,salmonella,Detected,/125g,spi 162019,risk,detected,
2022-09-26,chopped spinach,india,innovative cuisine,fruit,1.46,mg/kg,fsc 142,surveillance,vegetable residue screen  chlorpyrifos detected in excess of mrl,17886
2022-09-26,peanut snacks,nigeria,emphil intergrated links,aflatoxin detected,"0.18,",0.11 mg/kg,nut 112018,risk,in excess of level permitted,
2022-09-26,green sultanas,india,utility impex,fruit,0.61,mg/kg,fsc 142,surveillance,vegetable residue screen  carbendazim detected in excess of mrl,18064
2022-09-27,spiced peanuts,india,haldiram foods international,aflatoxin detected,1.111,mg/kg,nut 112018,risk,in excess of level permitted,
2022-09-29,birthday cake flavoured cereal,canada,post foods canada,composition,,,fsc 131,surveillance,additive erythrosine e127 not permitted in this food,18167
2022-09-30,dried shrimp,vietnam,cuong thinh phat food company,nitrofurans,"0.003,",0.006 mg/kg,fsc 142,risk,nitrofurazone not permitted in this food,
2022-09-30,frozen blueberries,canada,alex ingredients,fruit,7.1,mg/kg,fsc 142,surveillance,vegetable residue screen  spirotetramat detected in excess of mrl,18100
2022-09-30,roasted peanuts,india,malabar natural foods,aflatoxin detected,0.02,mg/kg,nut 112018,risk,in excess of level permitted,
2022-10-07,dragon fruit,vietnam,goodlife holdings company,fruit,0.11,mg/kg,fsc 142,surveillance,vegetable residue screen  permethrin detected in excess of mrl,17643
2022-10-10,polyflora honey,malaysia,rinting harmoni resources,evidence,Could,"not be determined, insufficient protein",fsc 282,surveillance,of blended or artificial honey being misrepresented as honey as indicated by c4 analysis,18171
2022-10-10,polyflora honey,malaysia,rinting harmoni resources,evidence,Could,"not be determined, insufficient protein",fsc 282,surveillance,of blended or artificial honey being misrepresented as honey as indicated by c4 analysis,18171
2022-10-10,polyflora honey,malaysia,rinting harmoni resources,moisture,21.60%,,fsc 282,surveillance,content in excess of level permitted,18171
2022-10-11,dried seaweed vegetable,china,dalian jinying marine products,iodine detected,1100,mg/kg,bsw 122021,risk,in excess of levels permitted,
2022-10-12,granulated peanuts,china,shandong fengsheng foods   shandong,aflatoxin detected,0.067,mg/kg,nut 112018,risk,in excess of levels permitted,
2022-10-13,peanut masala,india,m h foods,aflatoxin detected,0.1,mg/kg,nut 112018,risk,in excess of levels permitted,
2022-10-13,peanut bars,india,visnukumar traders,aflatoxin detected,0.03,mg/kg,nut 112018,risk,in excess of levels permitted,
2022-10-19,blood clam,indonesia,koperasi serba usaha adi jaya lestari,escherichia,"<2,","8, <2, <2, <2 MPN/g",mol 122021,risk,coli detected in excess of levels permitted,
2022-10-20,dried longan meat,thailand,thai top choice export company,fruit,0.09,mg/kg,fsc 142,surveillance,vegetable residue screen  carbendazim not permitted in this food,17756
2022-10-20,dried longan meat,thailand,thai top choice export company,chlorpyrifos,0.02,mg/kg,fsc 142,surveillance,not permitted in this food,17756
2022-10-21,frozen minced green molokhia,egypt,orouba for food industry,fruit,0.02,mg/kg,fsc 142,surveillance,vegetable residue screen  chlorpyrifos detected in excess of mrl,18095
2022-10-24,breakfast cereal,nigeria,feco foods industries,composition,,,fsc 132,surveillance,vitamin b5 not permitted in this food,18104
2022-10-24,frozen green peas,china,shanghai dongmei import and export,fruit,0.05,mg/kg,fsc 142,surveillance,vegetable residue screen  chlorpyrifos detected in excess of mrl,18099
2022-10-24,chilli powder,south africa,osmans spice works cc durban south africa,salmonella detected,Detected,/125g,spi 062019,risk,nan,
2022-10-26,giant taro,tonga,vavau pasifika trade,composition,,,fsc 144,risk,prohibited plant  alocasia macrorrhiza,
